ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.86977550328786,174.06109326158014,25068.062342703834,3.990696291254557,,434.14702069378137,14.540952984501528,71.58006595884254,4.487920840179972,1
6.860159761137816,186.3251776547959,24498.43275380047,5.453122677839742,375.7261363494661,421.02877294219286,16.14319066934254,84.44816869816466,3.7390294820279677,1
8.109824775580101,176.7281107128357,13802.150175665345,6.192495118057714,325.57110078473795,503.1337289014989,15.409047465367964,42.045246091048334,3.9180626008996433,1
9.50161747168876,200.00054538358842,27096.21481943086,7.356476879261012,337.5313789446046,550.0934128500671,10.050104003981442,94.54681967294064,3.8332017505142586,0
6.707696134189896,235.7332301144677,8948.195753419135,8.738176476038868,,481.7209700249597,13.663610800287561,,4.370961870865142,0
6.707722238450803,171.0181338731972,16277.828946667756,8.216734790527388,331.33773568831685,507.9629659695968,16.44070030746885,68.17537329599529,4.193181763573808,0
9.590948376656753,229.27697796662545,4484.948576458672,5.256666818452973,258.4847417079772,408.63938994499557,15.663713467269547,51.00335795074226,5.456929551057534,0
8.300221219353125,170.66862226123433,35681.015717844624,6.532694625778269,376.8811344386079,436.3452164321648,11.692008907988686,56.09593232105952,3.6703680713011457,1
6.333535726363426,168.50001725310244,19983.7320538761,7.240673430150055,385.7591521350814,546.2868661883228,15.656640499815298,60.29135159582283,5.368424776500902,0
7.942670469301684,223.28539105112486,41014.564341169265,6.705712743374531,257.9351714859096,468.77882021807,17.308283423472695,43.329683913138766,2.5568398157992593,1
6.343165868428185,226.68326810889045,29054.81263718105,6.694513543128095,290.5668782614991,406.6491454408492,11.04845019014341,61.306031472209305,4.351827967494647,0
6.3394896918232915,224.3643587207561,25943.270550643392,4.398065547046251,417.6090937562498,428.84073583791564,7.7916263251923965,51.96538774991001,2.733227537056612,0
,153.10658121778752,16873.71142675846,5.298680041199368,343.390876383632,510.0325672824137,20.15214980900778,77.45025327033993,3.1713653693991164,1
4.037884410994101,181.04953184099097,12839.09646757236,6.4833550383599485,333.9270937388585,517.2316669743977,15.32375856559733,17.11275501559384,3.2097655461136076,0
